conflict_id,incompatibility,year,intensity_level,cumulative_intensity,type_of_conflict,gwno_a,gwno_loc,region,sugar_price,crude_oil_price,wheat_price,gold_price,inflation rate,location_encode
11342,1,2012,1,0,3,750,750,3,0.2154738095238095,94.02916666666664,7.504587698412698,1679.8333333333333,7.9343874779296,0.08099688473520249
11342,1,2014,1,0,3,750,750,3,0.163501976284585,91.56,5.776297244094488,1256.25,3.33175691706154,0.08099688473520249
11343,1,1967,2,1,2,651,651,2,0.0217744939271255,3.026666666666667,1.5997824701195218,35.31,2.83201329328801,0.010124610591900311
11343,1,1969,1,1,2,651,651,2,0.034709387755102,3.295,1.3286384,40.83916666666666,0.806310204656143,0.010124610591900311
11343,1,1970,1,1,2,651,651,2,0.0378241935483871,3.3508333333333336,1.534094422310757,35.98583333333333,12.5161736901605,0.010124610591900311
11343,1,1973,2,1,2,651,651,2,0.0949036437246963,3.8725,3.4882828,99.95416666666668,7.35261504267174,0.010124610591900311
11344,1,2011,1,0,3,625,625,4,0.2880694444444445,96.78916666666667,7.05699007936508,1567.9583333333333,26.3283499650477,0.01985981308411215
11345,2,2011,1,0,3,626,626,4,0.2880694444444445,96.78916666666667,7.05699007936508,1567.9583333333333,38.8333429721931,0.004672897196261682
11345,2,2012,1,0,3,626,626,4,0.2154738095238095,94.02916666666664,7.504587698412698,1679.8333333333333,46.5069047554802,0.004672897196261682
11345,2,2013,1,1,3,626,626,4,0.1747674603174603,97.57333333333334,6.995672619047619,1399.5625,36.5121584994857,0.004672897196261682
11345,2,2014,2,1,4,626,626,4,0.163501976284585,91.56,5.776297244094488,1256.25,-26.7002845822567,0.004672897196261682
11345,2,2015,1,1,4,626,626,4,0.1320059523809524,49.185833333333335,5.0975,1151.9458333333334,17.6893321393151,0.004672897196261682
11345,2,2016,1,1,3,626,626,4,0.1825869047619047,44.21833333333333,4.427321428571428,1249.975,8.01016752456401,0.004672897196261682
11345,2,2017,1,1,3,626,626,4,0.158259126984127,51.85583333333333,4.438858565737052,1269.3375,8.01016752456401,0.004672897196261682
11345,2,2018,1,1,3,626,626,4,0.1225353174603174,64.57583333333334,4.975676587301587,1265.6,8.01016752456401,0.004672897196261682
11345,2,2019,1,1,3,626,626,4,0.123518359375,57.310833333333335,4.9413849206349205,1405.325,8.01016752456401,0.004672897196261682
11345,2,2020,1,1,3,626,626,4,0.128815503875969,38.57833333333333,5.498045454545455,1784.6575,8.01016752456401,0.004672897196261682
11345,2,2021,1,1,3,626,626,4,0.1787791505791506,68.23166666666667,7.040186274509804,1792.7316666666666,8.01016752456401,0.004672897196261682
11346,2,2011,2,1,4,620,620,4,0.2880694444444445,96.78916666666667,7.05699007936508,1567.9583333333333,24.3427533511905,0.004672897196261682
11346,2,2013,1,1,3,620,620,4,0.1747674603174603,97.57333333333334,6.995672619047619,1399.5625,0.0853923422682783,0.004672897196261682
11346,2,2014,1,1,3,620,620,4,0.163501976284585,91.56,5.776297244094488,1256.25,-1.00660401665242,0.004672897196261682
11346,2,2015,1,1,3,620,620,4,0.1320059523809524,49.185833333333335,5.0975,1151.9458333333334,-7.04070727195378,0.004672897196261682
11346,2,2017,1,1,3,620,620,4,0.158259126984127,51.85583333333333,4.438858565737052,1269.3375,1.80666382178316,0.004672897196261682
11346,2,2019,2,1,4,620,620,4,0.123518359375,57.310833333333335,4.9413849206349205,1405.325,4.17567264236536,0.004672897196261682
11346,2,2020,1,1,4,620,620,4,0.128815503875969,38.57833333333333,5.498045454545455,1784.6575,-4.75412381683802,0.004672897196261682
11347,2,2009,1,0,3,432,432,4,0.1876734126984127,63.77583333333333,4.046003968253968,982.6458333333334,6.03559163842091,0.010124610591900311
11347,2,2012,1,0,3,432,432,4,0.2154738095238095,94.02916666666664,7.504587698412698,1679.8333333333333,4.85459786758238,0.010124610591900311
11347,2,2013,1,1,4,432,432,4,0.1747674603174603,97.57333333333334,6.995672619047619,1399.5625,-0.317559105051984,0.010124610591900311
11347,2,2014,1,1,4,432,432,4,0.163501976284585,91.56,5.776297244094488,1256.25,1.82208435016761,0.010124610591900311
11347,2,2015,1,1,4,432,432,4,0.1320059523809524,49.185833333333335,5.0975,1151.9458333333334,2.81854906658864,0.010124610591900311
11347,2,2016,1,1,4,432,432,4,0.1825869047619047,44.21833333333333,4.427321428571428,1249.975,1.60005889699406,0.010124610591900311
11347,2,2017,1,1,4,432,432,4,0.158259126984127,51.85583333333333,4.438858565737052,1269.3375,1.67388511030441,0.010124610591900311
11347,2,2018,1,1,4,432,432,4,0.1225353174603174,64.57583333333334,4.975676587301587,1265.6,1.47979493682018,0.010124610591900311
11347,2,2019,1,1,4,432,432,4,0.123518359375,57.310833333333335,4.9413849206349205,1405.325,1.00124513753603,0.010124610591900311
11347,2,2020,1,1,4,432,432,4,0.128815503875969,38.57833333333333,5.498045454545455,1784.6575,0.473313577919129,0.010124610591900311
11347,2,2021,1,1,4,432,432,4,0.1787791505791506,68.23166666666667,7.040186274509804,1792.7316666666666,3.83078832119482,0.010124610591900311
11348,1,2012,1,0,2,626,625,4,0.2154738095238095,94.02916666666664,7.504587698412698,1679.8333333333333,46.5069047554802,0.004672897196261682
11349,1,2008,1,0,3,710,710,3,0.1383134387351778,98.69416666666666,6.29905138339921,880.2083333333334,7.85658646463206,0.010903426791277258
11350,2,2005,1,0,3,771,771,3,0.1137380952380952,57.24666666666667,3.215684523809524,448.9791666666667,4.58636070641845,0.008177570093457943
11350,2,2006,1,0,3,771,771,3,0.1546581673306773,66.91833333333334,3.784428286852589,611.5375,5.87593581109938,0.008177570093457943
11447,1,1991,1,0,3,530,530,4,0.0903691699604743,21.139166666666664,2.9246549407114624,358.9375,19.0842902492679,0.050623052959501556
11475,1,1991,1,0,3,775,775,3,0.0903691699604743,21.139166666666664,2.9246549407114624,358.9375,23.7488447345831,0.11137071651090343
11475,1,1995,1,0,3,775,775,3,0.1344265873015873,18.444166666666664,4.160992063492063,383.7625,19.6008436274624,0.11137071651090343
11475,1,2000,1,0,3,775,775,3,0.0852888888888888,29.729166666666668,2.3492460317460315,276.675,2.46177398804086,0.11137071651090343
11475,1,2001,1,0,3,775,775,3,0.0910944444444444,25.249166666666667,2.6048813492063494,271.1333333333333,24.8444647782488,0.11137071651090343
11475,1,2005,1,0,3,775,775,3,0.1137380952380952,57.24666666666667,3.215684523809524,448.9791666666667,19.1635299038814,0.11137071651090343
11475,1,2006,1,0,3,775,775,3,0.1546581673306773,66.91833333333334,3.784428286852589,611.5375,21.3004988066612,0.11137071651090343
11475,1,2007,1,0,3,775,775,3,0.1159760956175298,74.89083333333333,5.93456746031746,704.6750000000001,23.6439081182201,0.11137071651090343
11487,1,2013,1,0,3,820,820,3,0.1747674603174603,97.57333333333334,6.995672619047619,1399.5625,0.17447448132144,0.008177570093457943
11884,2,1947,2,1,3,751,751,3,0.1137380952380952,1.840833333333333,3.536837944664032,35.0,8.01016752456401,0.0011682242990654205
11884,2,1948,2,1,3,751,751,3,0.1137380952380952,2.57,3.536837944664032,35.0,8.01016752456401,0.0011682242990654205
13042,1,2012,1,0,3,652,652,2,0.2154738095238095,94.02916666666664,7.504587698412698,1679.8333333333333,26.2462552485551,0.012071651090342679
13042,1,2013,1,0,3,652,652,2,0.1747674603174603,97.57333333333334,6.995672619047619,1399.5625,31.7701939095293,0.012071651090342679
13042,1,2014,1,0,3,652,652,2,0.163501976284585,91.56,5.776297244094488,1256.25,37.0945840345087,0.012071651090342679
13042,1,2015,1,0,3,652,652,2,0.1320059523809524,49.185833333333335,5.0975,1151.9458333333334,38.2145477487644,0.012071651090342679
13219,2,2014,1,0,3,369,369,1,0.163501976284585,91.56,5.776297244094488,1256.25,15.901737523474,0.004283489096573208
13246,1,2014,2,1,4,369,369,1,0.163501976284585,91.56,5.776297244094488,1256.25,15.901737523474,0.004283489096573208
13247,1,2014,2,1,4,369,369,1,0.163501976284585,91.56,5.776297244094488,1256.25,15.901737523474,0.004283489096573208
13306,1,2014,2,1,4,369,369,1,0.163501976284585,91.56,5.776297244094488,1256.25,15.901737523474,0.004283489096573208
13306,1,2015,2,1,4,369,369,1,0.1320059523809524,49.185833333333335,5.0975,1151.9458333333334,38.8816797599977,0.004283489096573208
13306,1,2016,1,1,4,369,369,1,0.1825869047619047,44.21833333333333,4.427321428571428,1249.975,17.0971349238438,0.004283489096573208
13306,1,2017,1,1,4,369,369,1,0.158259126984127,51.85583333333333,4.438858565737052,1269.3375,22.0983174978017,0.004283489096573208
13306,1,2018,1,1,4,369,369,1,0.1225353174603174,64.57583333333334,4.975676587301587,1265.6,15.3985303514156,0.004283489096573208
13306,1,2019,1,1,4,369,369,1,0.123518359375,57.310833333333335,4.9413849206349205,1405.325,8.24622626642469,0.004283489096573208
13306,1,2020,1,1,4,369,369,1,0.128815503875969,38.57833333333333,5.498045454545455,1784.6575,10.2949601378763,0.004283489096573208
13306,1,2021,1,1,4,369,369,1,0.1787791505791506,68.23166666666667,7.040186274509804,1792.7316666666666,24.8047567675546,0.004283489096573208
13324,1,2021,1,0,2,703,702,3,0.1787791505791506,68.23166666666667,7.040186274509804,1792.7316666666666,8.01016752456401,0.0003894080996884735
13588,1,2015,1,0,3,365,365,1,0.1320059523809524,49.185833333333335,5.0975,1151.9458333333334,8.01016752456401,0.017133956386292833
13588,1,2016,1,0,3,365,365,1,0.1825869047619047,44.21833333333333,4.427321428571428,1249.975,8.01016752456401,0.017133956386292833
13588,1,2017,1,0,3,365,365,1,0.158259126984127,51.85583333333333,4.438858565737052,1269.3375,8.01016752456401,0.017133956386292833
13588,1,2018,1,0,3,365,365,1,0.1225353174603174,64.57583333333334,4.975676587301587,1265.6,8.01016752456401,0.017133956386292833
13588,1,2019,1,0,3,365,365,1,0.123518359375,57.310833333333335,4.9413849206349205,1405.325,8.01016752456401,0.017133956386292833
13588,1,2020,1,0,3,365,365,1,0.128815503875969,38.57833333333333,5.498045454545455,1784.6575,8.01016752456401,0.017133956386292833
13604,1,2013,2,1,3,652,652,2,0.1747674603174603,97.57333333333334,6.995672619047619,1399.5625,31.7701939095293,0.012071651090342679
13604,1,2014,2,1,3,652,652,2,0.163501976284585,91.56,5.776297244094488,1256.25,37.0945840345087,0.012071651090342679
13604,1,2015,2,1,4,652,652,2,0.1320059523809524,49.185833333333335,5.0975,1151.9458333333334,38.2145477487644,0.012071651090342679
13604,1,2016,2,1,4,652,652,2,0.1825869047619047,44.21833333333333,4.427321428571428,1249.975,36.8710415587113,0.012071651090342679
13604,1,2017,2,1,4,652,652,2,0.158259126984127,51.85583333333333,4.438858565737052,1269.3375,37.2209382232321,0.012071651090342679
13604,1,2018,2,1,4,652,652,2,0.1225353174603174,64.57583333333334,4.975676587301587,1265.6,13.1879402830296,0.012071651090342679
13604,1,2019,1,1,4,652,652,2,0.123518359375,57.310833333333335,4.9413849206349205,1405.325,19.8313540100224,0.012071651090342679
13604,1,2020,2,1,4,652,652,2,0.128815503875969,38.57833333333333,5.498045454545455,1784.6575,61.5864142890263,0.012071651090342679
13604,1,2021,1,1,4,652,652,2,0.1787791505791506,68.23166666666667,7.040186274509804,1792.7316666666666,118.274086326127,0.012071651090342679
13611,1,2015,1,0,3,432,432,4,0.1320059523809524,49.185833333333335,5.0975,1151.9458333333334,2.81854906658864,0.010124610591900311
13637,1,2015,1,0,4,700,700,3,0.1320059523809524,49.185833333333335,5.0975,1151.9458333333334,2.44756300147404,0.020638629283489095
13637,1,2016,2,1,4,700,700,3,0.1825869047619047,44.21833333333333,4.427321428571428,1249.975,-2.19752646733461,0.020638629283489095
13637,1,2017,2,1,4,700,700,3,0.158259126984127,51.85583333333333,4.438858565737052,1269.3375,2.40365618765746,0.020638629283489095
13637,1,2018,2,1,4,700,700,3,0.1225353174603174,64.57583333333334,4.975676587301587,1265.6,2.07134857783487,0.020638629283489095
13637,1,2019,2,1,4,700,700,3,0.123518359375,57.310833333333335,4.9413849206349205,1405.325,6.52147984832531,0.020638629283489095
13637,1,2020,1,1,4,700,700,3,0.128815503875969,38.57833333333333,5.498045454545455,1784.6575,6.9629462552564,0.020638629283489095
13637,1,2021,1,1,4,700,700,3,0.1787791505791506,68.23166666666667,7.040186274509804,1792.7316666666666,2.83899625081041,0.020638629283489095
13638,1,2015,1,0,4,471,471,4,0.1320059523809524,49.185833333333335,5.0975,1151.9458333333334,0.309791677780538,0.00778816199376947
13638,1,2016,1,0,3,471,471,4,0.1825869047619047,44.21833333333333,4.427321428571428,1249.975,0.661808977155886,0.00778816199376947
13638,1,2019,1,0,4,471,471,4,0.123518359375,57.310833333333335,4.9413849206349205,1405.325,1.16977181911541,0.00778816199376947
13638,1,2021,1,0,4,471,471,4,0.1787791505791506,68.23166666666667,7.040186274509804,1792.7316666666666,2.92103933375591,0.00778816199376947
13639,1,2015,1,0,4,436,436,4,0.1320059523809524,49.185833333333335,5.0975,1151.9458333333334,2.249426436212,0.005841121495327103
13639,1,2016,1,0,4,436,436,4,0.1825869047619047,44.21833333333333,4.427321428571428,1249.975,1.79272146557585,0.005841121495327103
13639,1,2017,1,0,4,436,436,4,0.158259126984127,51.85583333333333,4.438858565737052,1269.3375,0.368276728970102,0.005841121495327103
13639,1,2018,1,0,4,436,436,4,0.1225353174603174,64.57583333333334,4.975676587301587,1265.6,2.40368624331715,0.005841121495327103
13639,1,2019,1,1,4,436,436,4,0.123518359375,57.310833333333335,4.9413849206349205,1405.325,-0.0243827627404585,0.005841121495327103
13639,1,2020,1,1,4,436,436,4,0.128815503875969,38.57833333333333,5.498045454545455,1784.6575,1.16297974177712,0.005841121495327103
13639,1,2021,1,1,4,436,436,4,0.1787791505791506,68.23166666666667,7.040186274509804,1792.7316666666666,3.11864597184903,0.005841121495327103
13640,1,2015,1,0,3,483,483,4,0.1320059523809524,49.185833333333335,5.0975,1151.9458333333334,-6.99206965994387,0.018691588785046728
13640,1,2017,1,0,3,483,483,4,0.158259126984127,51.85583333333333,4.438858565737052,1269.3375,2.06223394685641,0.018691588785046728
13640,1,2018,1,0,3,483,483,4,0.1225353174603174,64.57583333333334,4.975676587301587,1265.6,3.86899224361679,0.018691588785046728
13640,1,2019,1,0,3,483,483,4,0.123518359375,57.310833333333335,4.9413849206349205,1405.325,-2.65592185944395,0.018691588785046728
13640,1,2020,1,0,3,483,483,4,0.128815503875969,38.57833333333333,5.498045454545455,1784.6575,-1.19280936481793,0.018691588785046728
13640,1,2021,1,0,3,483,483,4,0.1787791505791506,68.23166666666667,7.040186274509804,1792.7316666666666,8.53346785277849,0.018691588785046728
13641,1,2015,2,1,4,475,475,4,0.1320059523809524,49.185833333333335,5.0975,1151.9458333333334,2.86366512298946,0.010514018691588784
13641,1,2016,2,1,4,475,475,4,0.1825869047619047,44.21833333333333,4.427321428571428,1249.975,9.54367006412453,0.010514018691588784
13641,1,2017,1,1,4,475,475,4,0.158259126984127,51.85583333333333,4.438858565737052,1269.3375,11.1189180817697,0.010514018691588784
13641,1,2018,1,1,4,475,475,4,0.1225353174603174,64.57583333333334,4.975676587301587,1265.6,10.2284850865892,0.010514018691588784
13641,1,2019,2,1,4,475,475,4,0.123518359375,57.310833333333335,4.9413849206349205,1405.325,55.4448840564536,0.010514018691588784
13641,1,2020,2,1,4,475,475,4,0.128815503875969,38.57833333333333,5.498045454545455,1784.6575,11.2524842438544,0.010514018691588784
13641,1,2021,2,1,4,475,475,4,0.1787791505791506,68.23166666666667,7.040186274509804,1792.7316666666666,12.6369125111241,0.010514018691588784
13645,1,2015,1,0,3,678,678,2,0.1320059523809524,49.185833333333335,5.0975,1151.9458333333334,46.4762512185935,0.012071651090342679
13645,1,2017,1,0,3,678,678,2,0.158259126984127,51.85583333333333,4.438858565737052,1269.3375,18.5535662173892,0.012071651090342679
13645,1,2020,1,0,3,678,678,2,0.128815503875969,38.57833333333333,5.498045454545455,1784.6575,8.01016752456401,0.012071651090342679
13646,1,2015,1,0,3,501,501,4,0.1320059523809524,49.185833333333335,5.0975,1151.9458333333334,9.23865468396285,0.0050623052959501555
13646,1,2016,1,0,3,501,501,4,0.1825869047619047,44.21833333333333,4.427321428571428,1249.975,5.84962894648808,0.0050623052959501555
13646,1,2017,1,0,3,501,501,4,0.158259126984127,51.85583333333333,4.438858565737052,1269.3375,7.58193402820181,0.0050623052959501555
13646,1,2018,1,0,3,501,501,4,0.1225353174603174,64.57583333333334,4.975676587301587,1265.6,4.21502841459056,0.0050623052959501555
13646,1,2019,1,0,4,501,501,4,0.123518359375,57.310833333333335,4.9413849206349205,1405.325,4.2752342393575,0.0050623052959501555
13646,1,2020,1,0,4,501,501,4,0.128815503875969,38.57833333333333,5.498045454545455,1784.6575,4.94885283291357,0.0050623052959501555
13646,1,2021,1,0,4,501,501,4,0.1787791505791506,68.23166666666667,7.040186274509804,1792.7316666666666,4.3307475585662,0.0050623052959501555
13648,1,2015,1,0,3,651,651,2,0.1320059523809524,49.185833333333335,5.0975,1151.9458333333334,9.93088973035982,0.010124610591900311
13648,1,2016,1,1,3,651,651,2,0.1825869047619047,44.21833333333333,4.427321428571428,1249.975,6.24566313377426,0.010124610591900311
13648,1,2017,1,1,3,651,651,2,0.158259126984127,51.85583333333333,4.438858565737052,1269.3375,29.5184798346035,0.010124610591900311
13648,1,2018,1,1,3,651,651,2,0.1225353174603174,64.57583333333334,4.975676587301587,1265.6,21.1748208164536,0.010124610591900311
13648,1,2019,1,1,3,651,651,2,0.123518359375,57.310833333333335,4.9413849206349205,1405.325,13.6180959109963,0.010124610591900311
13648,1,2020,1,1,3,651,651,2,0.128815503875969,38.57833333333333,5.498045454545455,1784.6575,6.17693409847963,0.010124610591900311
13648,1,2021,1,1,3,651,651,2,0.1787791505791506,68.23166666666667,7.040186274509804,1792.7316666666666,4.84715643244118,0.010124610591900311
13653,1,2015,1,0,3,750,750,3,0.1320059523809524,49.185833333333335,5.0975,1151.9458333333334,2.27958810849833,0.08099688473520249
13653,1,2016,1,0,3,750,750,3,0.1825869047619047,44.21833333333333,4.427321428571428,1249.975,3.23797495080767,0.08099688473520249
13653,1,2017,1,0,3,750,750,3,0.158259126984127,51.85583333333333,4.438858565737052,1269.3375,3.96925793352338,0.08099688473520249
13653,1,2018,1,0,3,750,750,3,0.1225353174603174,64.57583333333334,4.975676587301587,1265.6,3.88424027196663,0.08099688473520249
13674,1,2016,1,0,3,771,771,3,0.1825869047619047,44.21833333333333,4.427321428571428,1249.975,27.8507377248339,0.008177570093457943
13674,1,2017,1,0,3,771,771,3,0.158259126984127,51.85583333333333,4.438858565737052,1269.3375,5.04759758203714,0.008177570093457943
13675,1,2014,1,0,3,660,660,2,0.163501976284585,91.56,5.776297244094488,1256.25,0.105278623259466,0.0050623052959501555
13675,1,2015,1,0,3,660,660,2,0.1320059523809524,49.185833333333335,5.0975,1151.9458333333334,3.33578444902192,0.0050623052959501555
13675,1,2017,1,0,3,660,660,2,0.158259126984127,51.85583333333333,4.438858565737052,1269.3375,2.7485363221939,0.0050623052959501555
13692,2,2001,2,1,2,700,2,1,0.0910944444444444,25.249166666666667,2.6048813492063494,271.1333333333333,-11.7745360319214,0.020638629283489095
13694,1,2015,1,0,3,620,620,4,0.1320059523809524,49.185833333333335,5.0975,1151.9458333333334,-7.04070727195378,0.004672897196261682
13694,1,2016,2,1,4,620,620,4,0.1825869047619047,44.21833333333333,4.427321428571428,1249.975,4.69231431810404,0.004672897196261682
13694,1,2017,1,1,4,620,620,4,0.158259126984127,51.85583333333333,4.438858565737052,1269.3375,1.80666382178316,0.004672897196261682
13694,1,2018,1,1,4,620,620,4,0.1225353174603174,64.57583333333334,4.975676587301587,1265.6,3.59757389264269,0.004672897196261682
13694,1,2019,1,1,4,620,620,4,0.123518359375,57.310833333333335,4.9413849206349205,1405.325,4.17567264236536,0.004672897196261682
13721,1,2015,1,0,3,615,615,4,0.1320059523809524,49.185833333333335,5.0975,1151.9458333333334,-4.98674479608955,0.01557632398753894
13809,3,2016,1,0,3,652,652,2,0.1825869047619047,44.21833333333333,4.427321428571428,1249.975,36.8710415587113,0.012071651090342679
13809,3,2018,1,0,3,652,652,2,0.1225353174603174,64.57583333333334,4.975676587301587,1265.6,13.1879402830296,0.012071651090342679
13840,1,2019,1,0,4,439,439,4,0.123518359375,57.310833333333335,4.9413849206349205,1405.325,0.51290051556127,0.0035046728971962616
13840,1,2020,1,0,4,439,439,4,0.128815503875969,38.57833333333333,5.498045454545455,1784.6575,6.46559578788029,0.0035046728971962616
13840,1,2021,1,0,4,439,439,4,0.1787791505791506,68.23166666666667,7.040186274509804,1792.7316666666666,0.112863112943955,0.0035046728971962616
