conflict_id,location,incompatibility,year,intensity_level,cumulative_intensity,type_of_conflict,gwno_a,gwno_loc,region,sugar_price,crude_oil_price,wheat_price,soya_oil_price,gold_price,silver_price,country,inflation rate
11342,India,1,2012,1,0,3,750,750,3,0.2154738095238095,94.02916666666665,7.504587698412698,0.510109126984127,1679.8333333333333,31.626666666666665,India,7.9343874779296
11342,India,1,2014,1,0,3,750,750,3,0.163501976284585,91.56,5.776297244094488,0.3682845238095238,1256.25,18.75916666666667,India,3.33175691706154
11343,"Egypt, Israel",1,1967,2,1,2,651,"651, 666",2,0.021774493927125507,3.026666666666667,1.5997824701195218,0.09493466135458167,35.31,1.65825,"Egypt, Arab Rep.",2.83201329328801
11343,"Egypt, Israel",1,1969,1,1,2,651,"651, 666",2,0.03470938775510204,3.295,1.3286384,0.08965179282868527,40.839166666666664,1.7983333333333331,"Egypt, Arab Rep.",0.806310204656143
11343,"Egypt, Israel",1,1970,1,1,2,651,"651, 666",2,0.0378241935483871,3.3508333333333336,1.534094422310757,0.11938937007874016,35.98583333333333,1.7516666666666667,"Egypt, Arab Rep.",12.5161736901605
11343,"Egypt, Israel",1,1973,2,1,2,651,"651, 666",2,0.09490364372469635,3.8725,3.4882828,0.20015000000000002,99.95416666666667,2.5908333333333333,"Egypt, Arab Rep.",7.35261504267174
11344,Sudan,1,2011,1,0,3,625,625,4,0.2880694444444445,96.78916666666667,7.05699007936508,0.5402837301587301,1567.9583333333333,35.556666666666665,Sudan,26.3283499650477
11345,South Sudan,2,2011,1,0,3,626,626,4,0.2880694444444445,96.78916666666667,7.05699007936508,0.5402837301587301,1567.9583333333333,35.556666666666665,South Sudan,38.8333429721931
11345,South Sudan,2,2012,1,0,3,626,626,4,0.2154738095238095,94.02916666666665,7.504587698412698,0.510109126984127,1679.8333333333333,31.626666666666665,South Sudan,46.5069047554802
11345,South Sudan,2,2013,1,1,3,626,626,4,0.17476746031746032,97.57333333333334,6.995672619047619,0.45003095238095236,1399.5625,23.53,South Sudan,36.5121584994857
11345,South Sudan,2,2014,2,1,4,626,626,4,0.163501976284585,91.56,5.776297244094488,0.3682845238095238,1256.25,18.75916666666667,South Sudan,-26.7002845822567
11345,South Sudan,2,2015,1,1,4,626,626,4,0.1320059523809524,49.185833333333335,5.0975,0.3063738095238095,1151.9458333333334,15.514166666666668,South Sudan,17.6893321393151
11345,South Sudan,2,2016,1,1,3,626,626,4,0.18258690476190476,44.218333333333334,4.427321428571428,0.32985714285714285,1249.9750000000001,17.13266666666667,South Sudan,8.01016752456401
11345,South Sudan,2,2017,1,1,3,626,626,4,0.158259126984127,51.85583333333333,4.438858565737052,0.33543027888446214,1269.3375,17.235516666666665,South Sudan,8.01016752456401
11345,South Sudan,2,2018,1,1,3,626,626,4,0.12253531746031747,64.57583333333334,4.975676587301587,0.29931547619047616,1265.6000000000001,15.637616666666666,South Sudan,8.01016752456401
11345,South Sudan,2,2019,1,1,3,626,626,4,0.123518359375,57.310833333333335,4.9413849206349205,0.2931829365079365,1405.325,16.3618,South Sudan,8.01016752456401
11345,South Sudan,2,2020,1,1,3,626,626,4,0.128815503875969,38.57833333333333,5.498045454545455,0.3127067193675889,1784.6575,20.796133333333334,South Sudan,8.01016752456401
11345,South Sudan,2,2021,1,1,3,626,626,4,0.1787791505791506,68.23166666666667,7.040186274509804,0.57746953125,1792.7316666666666,24.96813333333333,South Sudan,8.01016752456401
11346,Libya,2,2011,2,1,4,620,620,4,0.2880694444444445,96.78916666666667,7.05699007936508,0.5402837301587301,1567.9583333333333,35.556666666666665,Libya,24.3427533511905
11346,Libya,2,2013,1,1,3,620,620,4,0.17476746031746032,97.57333333333334,6.995672619047619,0.45003095238095236,1399.5625,23.53,Libya,0.0853923422682783
11346,Libya,2,2014,1,1,3,620,620,4,0.163501976284585,91.56,5.776297244094488,0.3682845238095238,1256.25,18.75916666666667,Libya,-1.00660401665242
11346,Libya,2,2015,1,1,3,620,620,4,0.1320059523809524,49.185833333333335,5.0975,0.3063738095238095,1151.9458333333334,15.514166666666668,Libya,-7.04070727195378
11346,Libya,2,2017,1,1,3,620,620,4,0.158259126984127,51.85583333333333,4.438858565737052,0.33543027888446214,1269.3375,17.235516666666665,Libya,1.80666382178316
11346,Libya,2,2019,2,1,4,620,620,4,0.123518359375,57.310833333333335,4.9413849206349205,0.2931829365079365,1405.325,16.3618,Libya,4.17567264236536
11346,Libya,2,2020,1,1,4,620,620,4,0.128815503875969,38.57833333333333,5.498045454545455,0.3127067193675889,1784.6575,20.796133333333334,Libya,-4.75412381683802
11347,Mali,2,2009,1,0,3,432,432,4,0.1876734126984127,63.77583333333333,4.046003968253968,0.3301746031746032,982.6458333333334,14.770000000000001,Mali,6.03559163842091
11347,Mali,2,2012,1,0,3,432,432,4,0.2154738095238095,94.02916666666665,7.504587698412698,0.510109126984127,1679.8333333333333,31.626666666666665,Mali,4.85459786758238
11347,Mali,2,2013,1,1,4,432,432,4,0.17476746031746032,97.57333333333334,6.995672619047619,0.45003095238095236,1399.5625,23.53,Mali,-0.317559105051984
11347,Mali,2,2014,1,1,4,432,432,4,0.163501976284585,91.56,5.776297244094488,0.3682845238095238,1256.25,18.75916666666667,Mali,1.82208435016761
11347,Mali,2,2015,1,1,4,432,432,4,0.1320059523809524,49.185833333333335,5.0975,0.3063738095238095,1151.9458333333334,15.514166666666668,Mali,2.81854906658864
11347,Mali,2,2016,1,1,4,432,432,4,0.18258690476190476,44.218333333333334,4.427321428571428,0.32985714285714285,1249.9750000000001,17.13266666666667,Mali,1.60005889699406
11347,Mali,2,2017,1,1,4,432,432,4,0.158259126984127,51.85583333333333,4.438858565737052,0.33543027888446214,1269.3375,17.235516666666665,Mali,1.67388511030441
11347,Mali,2,2018,1,1,4,432,432,4,0.12253531746031747,64.57583333333334,4.975676587301587,0.29931547619047616,1265.6000000000001,15.637616666666666,Mali,1.47979493682018
11347,Mali,2,2019,1,1,4,432,432,4,0.123518359375,57.310833333333335,4.9413849206349205,0.2931829365079365,1405.325,16.3618,Mali,1.00124513753603
11347,Mali,2,2020,1,1,4,432,432,4,0.128815503875969,38.57833333333333,5.498045454545455,0.3127067193675889,1784.6575,20.796133333333334,Mali,0.473313577919129
11347,Mali,2,2021,1,1,4,432,432,4,0.1787791505791506,68.23166666666667,7.040186274509804,0.57746953125,1792.7316666666666,24.96813333333333,Mali,3.83078832119482
11348,"South Sudan, Sudan",1,2012,1,0,2,626,"625, 626",4,0.2154738095238095,94.02916666666665,7.504587698412698,0.510109126984127,1679.8333333333333,31.626666666666665,South Sudan,46.5069047554802
11349,China,1,2008,1,0,3,710,710,3,0.13831343873517785,98.69416666666666,6.29905138339921,0.4950802371541502,880.2083333333334,14.975833333333334,China,7.85658646463206
11350,Bangladesh,2,2005,1,0,3,771,771,3,0.11373809523809524,57.24666666666667,3.2156845238095237,0.23026825396825396,448.9791666666667,7.391666666666667,Bangladesh,4.58636070641845
11350,Bangladesh,2,2006,1,0,3,771,771,3,0.1546581673306773,66.91833333333334,3.7844282868525894,0.24454183266932272,611.5375,11.834166666666667,Bangladesh,5.87593581109938
11447,Ethiopia,1,1991,1,0,3,530,530,4,0.0903691699604743,21.139166666666664,2.9246549407114624,0.2031486166007905,358.9375,3.9925,Ethiopia,19.0842902492679
11475,Myanmar (Burma),1,1991,1,0,3,775,775,3,0.0903691699604743,21.139166666666664,2.9246549407114624,0.2031486166007905,358.9375,3.9925,Myanmar,23.7488447345831
11475,Myanmar (Burma),1,1995,1,0,3,775,775,3,0.13442658730158732,18.444166666666664,4.160992063492063,0.26712698412698416,383.7625,5.203333333333333,Myanmar,19.6008436274624
11475,Myanmar (Burma),1,2000,1,0,3,775,775,3,0.08528888888888889,29.729166666666668,2.3492460317460315,0.15003214285714286,276.675,4.905,Myanmar,2.46177398804086
11475,Myanmar (Burma),1,2001,1,0,3,775,775,3,0.09109444444444445,25.249166666666667,2.6048813492063494,0.14512460317460316,271.1333333333333,4.386666666666667,Myanmar,24.8444647782488
11475,Myanmar (Burma),1,2005,1,0,3,775,775,3,0.11373809523809524,57.24666666666667,3.2156845238095237,0.23026825396825396,448.9791666666667,7.391666666666667,Myanmar,19.1635299038814
11475,Myanmar (Burma),1,2006,1,0,3,775,775,3,0.1546581673306773,66.91833333333334,3.7844282868525894,0.24454183266932272,611.5375,11.834166666666667,Myanmar,21.3004988066612
11475,Myanmar (Burma),1,2007,1,0,3,775,775,3,0.11597609561752988,74.89083333333333,5.93456746031746,0.3485134920634921,704.6750000000001,13.512500000000001,Myanmar,23.6439081182201
11487,Malaysia,1,2013,1,0,3,820,820,3,0.17476746031746032,97.57333333333334,6.995672619047619,0.45003095238095236,1399.5625,23.53,Malaysia,0.17447448132144
11884,Hyderabad,2,1947,2,1,3,751,751,3,0.11373809523809524,1.8408333333333333,3.5368379446640317,0.2376332015810277,35.0,0.7200000000000001,Hyderabad,8.01016752456401
11884,Hyderabad,2,1948,2,1,3,751,751,3,0.11373809523809524,2.57,3.5368379446640317,0.2376332015810277,35.0,0.7399999999999999,Hyderabad,8.01016752456401
13042,Syria,1,2012,1,0,3,652,652,2,0.2154738095238095,94.02916666666665,7.504587698412698,0.510109126984127,1679.8333333333333,31.626666666666665,Syrian Arab Republic,26.2462552485551
13042,Syria,1,2013,1,0,3,652,652,2,0.17476746031746032,97.57333333333334,6.995672619047619,0.45003095238095236,1399.5625,23.53,Syrian Arab Republic,31.7701939095293
13042,Syria,1,2014,1,0,3,652,652,2,0.163501976284585,91.56,5.776297244094488,0.3682845238095238,1256.25,18.75916666666667,Syrian Arab Republic,37.0945840345087
13042,Syria,1,2015,1,0,3,652,652,2,0.1320059523809524,49.185833333333335,5.0975,0.3063738095238095,1151.9458333333334,15.514166666666668,Syrian Arab Republic,38.2145477487644
13219,Ukraine,2,2014,1,0,3,369,369,1,0.163501976284585,91.56,5.776297244094488,0.3682845238095238,1256.25,18.75916666666667,Ukraine,15.901737523474
13246,Ukraine,1,2014,2,1,4,369,369,1,0.163501976284585,91.56,5.776297244094488,0.3682845238095238,1256.25,18.75916666666667,Ukraine,15.901737523474
13247,Ukraine,1,2014,2,1,4,369,369,1,0.163501976284585,91.56,5.776297244094488,0.3682845238095238,1256.25,18.75916666666667,Ukraine,15.901737523474
13306,Ukraine,1,2014,2,1,4,369,369,1,0.163501976284585,91.56,5.776297244094488,0.3682845238095238,1256.25,18.75916666666667,Ukraine,15.901737523474
13306,Ukraine,1,2015,2,1,4,369,369,1,0.1320059523809524,49.185833333333335,5.0975,0.3063738095238095,1151.9458333333334,15.514166666666668,Ukraine,38.8816797599977
